ResourceProvider,ResourceType,Description,Operation
Microsoft.AppPlatform,Spring,Get the config server for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/configServers/read
Microsoft.AppPlatform,Spring,Create or update the config server for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/configServers/write
Microsoft.AppPlatform,Spring,Read the configuration content(for example, application.yaml) for a specific Azure Spring Cloud service instance
Microsoft.AppPlatform,Spring,Get the detectors for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/detectors/read
Microsoft.AppPlatform,Spring,Get the monitoring setting for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/monitoringSettings/read
Microsoft.AppPlatform,Spring,Create or update the monitoring setting for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/monitoringSettings/write
Microsoft.AppPlatform,Spring,Read the streaming log of user app for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/logstreamService/read
Microsoft.AppPlatform,Spring/apps,Delete the binding for a specific application,Microsoft.AppPlatform/Spring/apps/bindings/delete
Microsoft.AppPlatform,Spring/apps,Get the bindings for a specific application,Microsoft.AppPlatform/Spring/apps/bindings/read
Microsoft.AppPlatform,Spring/apps,Create or update the binding for a specific application,Microsoft.AppPlatform/Spring/apps/bindings/write
Microsoft.AppPlatform,Spring/apps,Delete the custom domain for a specific application,Microsoft.AppPlatform/Spring/apps/domains/delete
Microsoft.AppPlatform,Spring/apps,Get the custom domains for a specific application,Microsoft.AppPlatform/Spring/apps/domains/read
Microsoft.AppPlatform,Spring/apps,Create or update the custom domain for a specific application,Microsoft.AppPlatform/Spring/apps/domains/write
Microsoft.AppPlatform,Spring/apps,Delete the application for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/apps/delete
Microsoft.AppPlatform,Spring/apps,Get the resource upload URL of a specific Microsoft Azure Spring Cloud application,Microsoft.AppPlatform/Spring/apps/getResourceUploadUrl/action
Microsoft.AppPlatform,Spring/apps,Get the applications for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/apps/read
Microsoft.AppPlatform,Spring/apps,Validate the custom domain for a specific application,Microsoft.AppPlatform/Spring/apps/validateDomain/action
Microsoft.AppPlatform,Spring/apps,Create or update the application for a specific Azure Spring Cloud service instance,Microsoft.AppPlatform/Spring/apps/write
Microsoft.AppPlatform,Spring/apps/deployments,List available skus of an application deployment,Microsoft.AppPlatform/Spring/apps/deployments/skus/read
Microsoft.AppPlatform,Spring/apps/deployments,Delete the deployment for a specific application,Microsoft.AppPlatform/Spring/apps/deployments/delete
Microsoft.AppPlatform,Spring/apps/deployments,Get the log file URL of a specific Microsoft Azure Spring Cloud application deployment,Microsoft.AppPlatform/Spring/apps/deployments/getLogFileUrl/action
Microsoft.AppPlatform,Spring/apps/deployments,Get the deployments for a specific application,Microsoft.AppPlatform/Spring/apps/deployments/read
Microsoft.AppPlatform,Spring/apps/deployments,Restart the deployment for a specific application,Microsoft.AppPlatform/Spring/apps/deployments/restart/action
Microsoft.AppPlatform,Spring/apps/deployments,Start the deployment for a specific application,Microsoft.AppPlatform/Spring/apps/deployments/start/action
Microsoft.AppPlatform,Spring/apps/deployments,Stop the deployment for a specific application,Microsoft.AppPlatform/Spring/apps/deployments/stop/action
Microsoft.AppPlatform,Spring/apps/deployments,Create or update the deployment for a specific application,Microsoft.AppPlatform/Spring/apps/deployments/write
Microsoft.Attestation,attestationProviders,Adds attestation service.,Microsoft.Attestation/attestationProviders/write
Microsoft.Attestation,attestationProviders,AzureAttestation,Microsoft.Attestation/attestationProviders/operationStatus/read
Microsoft.Attestation,attestationProviders,Write diagnostic setting,Microsoft.Attestation/attestationProviders/providers/Microsoft.Insights/diagnosticSettings/write
Microsoft.Attestation,attestationProviders,Gets privatelink resources description.,Microsoft.Attestation/attestationProviders/privateLinkResources/read
Microsoft.Attestation,attestationProviders,Gets the attestation service status.,Microsoft.Attestation/attestationProviders/read
Microsoft.Attestation,attestationProviders,Private endpoints approve description.,Microsoft.Attestation/attestationProviders/PrivateEndpointConnectionsApproval/action
Microsoft.Attestation,attestationProviders,Gets the available logs for Azure Attestation.,Microsoft.Attestation/attestationProviders/providers/Microsoft.Insights/logDefinitions/read
Microsoft.Attestation,attestationProviders,Gets the diagnostic setting for the resource.,Microsoft.Attestation/attestationProviders/providers/Microsoft.Insights/diagnosticSettings/read
Microsoft.Attestation,attestationProviders,Removes attestation service.,Microsoft.Attestation/attestationProviders/delete
Microsoft.Attestation,attestationProviders,Private endpoint connection proxies delete description.,Microsoft.Attestation/attestationProviders/privateEndpointConnectionProxies/delete
Microsoft.Attestation,attestationProviders,Private endpoint connection proxies read description.,Microsoft.Attestation/attestationProviders/privateEndpointConnectionProxies/read
Microsoft.Attestation,attestationProviders,Private endpoint connection proxies validate oescription.,Microsoft.Attestation/attestationProviders/privateEndpointConnectionProxies/validate/action
Microsoft.Attestation,attestationProviders,Private endpoint connection proxies write description.,Microsoft.Attestation/attestationProviders/privateEndpointConnectionProxies/write
Microsoft.Attestation,attestationProviders,Private endpoints delete description.,Microsoft.Attestation/attestationProviders/privateEndpointConnections/delete
Microsoft.Attestation,attestationProviders,Private endpoints read description.,Microsoft.Attestation/attestationProviders/privateEndpointConnections/read
Microsoft.Attestation,attestationProviders,Private endpoints write description.,Microsoft.Attestation/attestationProviders/privateEndpointConnections/write
Microsoft.Attestation,defaultProviders,n/a,n/a
Microsoft.Attestation,locations,n/a,n/a
Microsoft.Attestation,locations/defaultProvider,n/a,n/a
Microsoft.Attestation,operations,n/a,n/a
Microsoft.Authorization,checkAccess,n/a,n/a
Microsoft.Authorization,classicAdministrators,Gets the administrator opreation statuses of the subscription.,Microsoft.Authorization/classicAdministrators/operationstatuses/read
Microsoft.Authorization,classicAdministrators,Removes the administrator from the subscription.,Microsoft.Authorization/classicAdministrators/delete
Microsoft.Authorization,classicAdministrators,Reads the administrators for the subscription.,Microsoft.Authorization/classicAdministrators/read
Microsoft.Authorization,classicAdministrators,Add or modify administrator to a subscription.,Microsoft.Authorization/classicAdministrators/write
Microsoft.Authorization,dataAliases,n/a,n/a
Microsoft.Authorization,denyAssignments,Create a deny assignment at the specified scope.,Microsoft.Authorization/denyAssignments/write
Microsoft.Authorization,denyAssignments,Delete a deny assignment at the specified scope.,Microsoft.Authorization/denyAssignments/delete
Microsoft.Authorization,denyAssignments,Get information about a deny assignment.,Microsoft.Authorization/denyAssignments/read
Microsoft.Authorization,elevateAccess,Grants the caller User Access Administrator access at the tenant scope,Microsoft.Authorization/elevateAccess/action
Microsoft.Authorization,findOrphanRoleAssignments,n/a,n/a
Microsoft.Authorization,locks,Add locks at the specified scope.,Microsoft.Authorization/locks/write
Microsoft.Authorization,locks,Delete locks at the specified scope.,Microsoft.Authorization/locks/delete
Microsoft.Authorization,locks,Gets locks at the specified scope.,Microsoft.Authorization/locks/read
Microsoft.Authorization,operations,Gets the list of operations,Microsoft.Authorization/operations/read
Microsoft.Authorization,operationStatus,n/a,n/a
Microsoft.Authorization,permissions,Lists all the permissions the caller has at a given scope.,Microsoft.Authorization/permissions/read
Microsoft.Authorization,policyAssignments,Create a policy assignment at the specified scope.,Microsoft.Authorization/policyAssignments/write
Microsoft.Authorization,policyAssignments,Delete a policy assignment at the specified scope.,Microsoft.Authorization/policyAssignments/delete
Microsoft.Authorization,policyAssignments,Exempt a policy assignment at the specified scope.,Microsoft.Authorization/policyAssignments/exempt/action
Microsoft.Authorization,policyAssignments,Get information about a policy assignment.,Microsoft.Authorization/policyAssignments/read
Microsoft.Authorization,policyAssignments,Deletes a private endpoint connection proxy.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/delete
Microsoft.Authorization,policyAssignments,Get information about private endpoint connection proxy.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/read
Microsoft.Authorization,policyAssignments,Validates a private endpoint connection proxy.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/validate/action
Microsoft.Authorization,policyAssignments,Creates or updates a private endpoint connection proxy.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnectionProxies/write
Microsoft.Authorization,policyAssignments,Deletes a private endpoint connection.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/delete
Microsoft.Authorization,policyAssignments,Get information about private endpoint connection.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/read
Microsoft.Authorization,policyAssignments,Creates or updates a private endpoint connection.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/privateEndpointConnections/write
Microsoft.Authorization,policyAssignments,Deletes a private link association.,Microsoft.Authorization/policyAssignments/privateLinkAssociations/delete
Microsoft.Authorization,policyAssignments,Get information about private link association.,Microsoft.Authorization/policyAssignments/privateLinkAssociations/read
Microsoft.Authorization,policyAssignments,Creates or updates a private link association.,Microsoft.Authorization/policyAssignments/privateLinkAssociations/write
Microsoft.Authorization,policyAssignments,Deletes a resource management private link.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/delete
Microsoft.Authorization,policyAssignments,Get information about resource management private link.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/read
Microsoft.Authorization,policyAssignments,Creates or updates a resource management private link.,Microsoft.Authorization/policyAssignments/resourceManagementPrivateLinks/write
Microsoft.Authorization,policyDefinitions,Create a custom policy definition.,Microsoft.Authorization/policyDefinitions/write
Microsoft.Authorization,policyDefinitions,Delete a policy definition.,Microsoft.Authorization/policyDefinitions/delete
Microsoft.Authorization,policyDefinitions,Get information about a policy definition.,Microsoft.Authorization/policyDefinitions/read
Microsoft.Authorization,policyExemptions,Create a policy exemption at the specified scope.,Microsoft.Authorization/policyExemptions/write
Microsoft.Authorization,policyExemptions,Delete a policy exemption at the specified scope.,Microsoft.Authorization/policyExemptions/delete
Microsoft.Authorization,policyExemptions,Get information about a policy exemption.,Microsoft.Authorization/policyExemptions/read
Microsoft.Authorization,policySetDefinitions,Create a custom policy set definition.,Microsoft.Authorization/policySetDefinitions/write
Microsoft.Authorization,policySetDefinitions,Delete a policy set definition.,Microsoft.Authorization/policySetDefinitions/delete
Microsoft.Authorization,policySetDefinitions,Get information about a policy set definition.,Microsoft.Authorization/policySetDefinitions/read
Microsoft.Authorization,privateLinkAssociations,n/a,n/a
Microsoft.Authorization,providerOperations,Get operations for all resource providers which can be used in role definitions.,Microsoft.Authorization/providerOperations/read
Microsoft.Authorization,resourceManagementPrivateLinks,n/a,n/a
Microsoft.Authorization,roleAssignments,Create a role assignment at the specified scope.,Microsoft.Authorization/roleAssignments/write
Microsoft.Authorization,roleAssignments,Delete a role assignment at the specified scope.,Microsoft.Authorization/roleAssignments/delete
Microsoft.Authorization,roleAssignments,Get information about a role assignment.,Microsoft.Authorization/roleAssignments/read
Microsoft.Authorization,roleAssignmentsUsageMetrics,n/a,n/a
Microsoft.Authorization,roleDefinitions,Create or update a custom role definition with specified permissions and assignable scopes.,Microsoft.Authorization/roleDefinitions/write
Microsoft.Authorization,roleDefinitions,Delete the specified custom role definition.,Microsoft.Authorization/roleDefinitions/delete
Microsoft.Authorization,roleDefinitions,Get information about a role definition.,Microsoft.Authorization/roleDefinitions/read
Microsoft.Automanage,accounts,n/a,n/a
Microsoft.Automanage,configurationProfileAssignments,n/a,n/a
Microsoft.Automanage,configurationProfilePreferences,n/a,n/a
Microsoft.Automanage,n/a,n/a,n/a
Microsoft.Automanage,operations,n/a,n/a
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation account,Microsoft.Automation/automationAccounts/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation account,Microsoft.Automation/automationAccounts/delete
Microsoft.Automation,automationAccounts,Reads the Keys for the automation account,Microsoft.Automation/automationAccounts/listKeys/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation account,Microsoft.Automation/automationAccounts/read
Microsoft.Automation,automationAccounts,Gets Azure Automation Activities,Microsoft.Automation/automationAccounts/modules/activities/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation certificate asset,Microsoft.Automation/automationAccounts/certificates/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation certificate asset,Microsoft.Automation/automationAccounts/certificates/delete
Microsoft.Automation,automationAccounts,Reads the count of certificates,Microsoft.Automation/automationAccounts/certificates/getCount/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation certificate asset,Microsoft.Automation/automationAccounts/certificates/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation connection asset,Microsoft.Automation/automationAccounts/connections/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation connection asset,Microsoft.Automation/automationAccounts/connections/delete
Microsoft.Automation,automationAccounts,Reads the count of connections,Microsoft.Automation/automationAccounts/connections/getCount/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation connection asset,Microsoft.Automation/automationAccounts/connections/read
Microsoft.Automation,automationAccounts,Creates an Azure Automation connection type asset,Microsoft.Automation/automationAccounts/connectionTypes/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation connection type asset,Microsoft.Automation/automationAccounts/connectionTypes/delete
Microsoft.Automation,automationAccounts,Gets an Azure Automation connection type asset,Microsoft.Automation/automationAccounts/connectionTypes/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation credential asset,Microsoft.Automation/automationAccounts/credentials/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation credential asset,Microsoft.Automation/automationAccounts/credentials/delete
Microsoft.Automation,automationAccounts,Reads the count of credentials,Microsoft.Automation/automationAccounts/credentials/getCount/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation credential asset,Microsoft.Automation/automationAccounts/credentials/read
Microsoft.Automation,automationAccounts,Deletes Hybrid Runbook Worker Resources,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/delete
Microsoft.Automation,automationAccounts,Reads Hybrid Runbook Worker Resources,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/read
Microsoft.Automation,automationAccounts,Creates an Azure Automation job schedule,Microsoft.Automation/automationAccounts/jobSchedules/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation job schedule,Microsoft.Automation/automationAccounts/jobSchedules/delete
Microsoft.Automation,automationAccounts,Gets an Azure Automation job schedule,Microsoft.Automation/automationAccounts/jobSchedules/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation Powershell module,Microsoft.Automation/automationAccounts/modules/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation Powershell module,Microsoft.Automation/automationAccounts/modules/delete
Microsoft.Automation,automationAccounts,Gets the count of Powershell modules within the Automation Account,Microsoft.Automation/automationAccounts/modules/getCount/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation Powershell module,Microsoft.Automation/automationAccounts/modules/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation Python 2 package,Microsoft.Automation/automationAccounts/python2Packages/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation Python 2 package,Microsoft.Automation/automationAccounts/python2Packages/delete
Microsoft.Automation,automationAccounts,Gets an Azure Automation Python 2 package,Microsoft.Automation/automationAccounts/python2Packages/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation Python 3 package,Microsoft.Automation/automationAccounts/python3Packages/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation Python 3 package,Microsoft.Automation/automationAccounts/python3Packages/delete
Microsoft.Automation,automationAccounts,Gets an Azure Automation Python 3 package,Microsoft.Automation/automationAccounts/python3Packages/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation schedule asset,Microsoft.Automation/automationAccounts/schedules/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation schedule asset,Microsoft.Automation/automationAccounts/schedules/delete
Microsoft.Automation,automationAccounts,Gets the count of Azure Automation schedules,Microsoft.Automation/automationAccounts/schedules/getCount/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation schedule asset,Microsoft.Automation/automationAccounts/schedules/read
Microsoft.Automation,automationAccounts,Gets an Azure Automation Software Update Configuration Machine Run,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationMachineRuns/read
Microsoft.Automation,automationAccounts,Gets an Azure Automation Software Update Configuration Run,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationRuns/read
Microsoft.Automation,automationAccounts,Gets Azure Automation Statistics,Microsoft.Automation/automationAccounts/statistics/read
Microsoft.Automation,automationAccounts,Gets Azure Automation TypeFields,Microsoft.Automation/automationAccounts/objectDataTypes/fields/read
Microsoft.Automation,automationAccounts,Get an Azure Automation update deployment machine,Microsoft.Automation/automationAccounts/updateDeploymentMachineRuns/read
Microsoft.Automation,automationAccounts,Gets an Azure Automation update management patch job,Microsoft.Automation/automationAccounts/updateManagementPatchJob/read
Microsoft.Automation,automationAccounts,Gets Azure Automation Usage,Microsoft.Automation/automationAccounts/usages/read
Microsoft.Automation,automationAccounts,Creates or updates an Azure Automation variable asset,Microsoft.Automation/automationAccounts/variables/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation variable asset,Microsoft.Automation/automationAccounts/variables/delete
Microsoft.Automation,automationAccounts,Reads an Azure Automation variable asset,Microsoft.Automation/automationAccounts/variables/read
Microsoft.Automation,automationAccounts,Create an Azure Automation watcher job actions,Microsoft.Automation/automationAccounts/watchers/watcherActions/write
Microsoft.Automation,automationAccounts,Delete an Azure Automation watcher job actions,Microsoft.Automation/automationAccounts/watchers/watcherActions/delete
Microsoft.Automation,automationAccounts,Gets an Azure Automation watcher job actions,Microsoft.Automation/automationAccounts/watchers/watcherActions/read
Microsoft.Automation,automationAccounts,Creates an Azure Automation watcher job,Microsoft.Automation/automationAccounts/watchers/write
Microsoft.Automation,automationAccounts,Delete an Azure Automation watcher job,Microsoft.Automation/automationAccounts/watchers/delete
Microsoft.Automation,automationAccounts,Gets an Azure Automation watcher job,Microsoft.Automation/automationAccounts/watchers/read
Microsoft.Automation,automationAccounts,Start an Azure Automation watcher job,Microsoft.Automation/automationAccounts/watchers/start/action
Microsoft.Automation,automationAccounts,Stop an Azure Automation watcher job,Microsoft.Automation/automationAccounts/watchers/stop/action
Microsoft.Automation,automationAccounts,Gets an Azure Automation watcher job stream,Microsoft.Automation/automationAccounts/watchers/streams/read
Microsoft.Automation,automationAccounts,Read an Azure Automation DSC's registration information,Microsoft.Automation/automationAccounts/agentRegistrationInformation/read
Microsoft.Automation,automationAccounts,Writes a request to regenerate Azure Automation DSC keys,Microsoft.Automation/automationAccounts/agentRegistrationInformation/regenerateKey/action
Microsoft.Automation,automationAccounts,Reads an Azure Automation DSC's Compilation,Microsoft.Automation/automationAccounts/compilationjobs/read
Microsoft.Automation,automationAccounts,Writes an Azure Automation DSC's Compilation,Microsoft.Automation/automationAccounts/compilationjobs/write
Microsoft.Automation,automationAccounts,Deletes an Azure Automation DSC's node configuration,Microsoft.Automation/automationAccounts/nodeConfigurations/delete
Microsoft.Automation,automationAccounts,Reads an Azure Automation DSC's node configuration content,Microsoft.Automation/automationAccounts/nodeConfigurations/rawContent/action
Microsoft.Automation,automationAccounts,Reads an Azure Automation DSC's node configuration,Microsoft.Automation/automationAccounts/nodeConfigurations/read
Microsoft.Automation,automationAccounts,Writes an Azure Automation DSC's node configuration,Microsoft.Automation/automationAccounts/nodeConfigurations/write
Microsoft.Automation,automationAccounts,Creates or updates Azure Automation DSC nodes,Microsoft.Automation/automationAccounts/nodes/write
Microsoft.Automation,automationAccounts,Deletes Azure Automation DSC nodes,Microsoft.Automation/automationAccounts/nodes/delete
Microsoft.Automation,automationAccounts,Reads Azure Automation DSC nodes,Microsoft.Automation/automationAccounts/nodes/read
Microsoft.Automation,automationAccounts,Reads Azure Automation DSC report contents,Microsoft.Automation/automationAccounts/nodes/reports/content/read
Microsoft.Automation,automationAccounts,Reads Azure Automation DSC reports,Microsoft.Automation/automationAccounts/nodes/reports/read
Microsoft.Automation,automationAccounts,Reads node count summary for the specified type,Microsoft.Automation/automationAccounts/nodecounts/read
Microsoft.Automation,automationAccounts,Gets the workspace linked to the automation account,Microsoft.Automation/automationAccounts/linkedWorkspace/read
Microsoft.Automation,automationAccounts/configurations,Reads the configuration media content,Microsoft.Automation/automationAccounts/configurations/content/read
Microsoft.Automation,automationAccounts/configurations,Deletes an Azure Automation DSC's content,Microsoft.Automation/automationAccounts/configurations/delete
Microsoft.Automation,automationAccounts/configurations,Reads the count of an Azure Automation DSC's content,Microsoft.Automation/automationAccounts/configurations/getCount/action
Microsoft.Automation,automationAccounts/configurations,Writes an Azure Automation DSC's content,Microsoft.Automation/automationAccounts/configurations/write
Microsoft.Automation,automationAccounts/configurations,Gets an Azure Automation DSC's content,Microsoft.Automation/automationAccounts/configurations/read
Microsoft.Automation,automationAccounts/jobs,Gets an Azure Automation job stream,Microsoft.Automation/automationAccounts/jobs/streams/read
Microsoft.Automation,automationAccounts/jobs,Creates an Azure Automation job,Microsoft.Automation/automationAccounts/jobs/write
Microsoft.Automation,automationAccounts/jobs,Gets the content of the Azure Automation runbook at the time of the job execution,Microsoft.Automation/automationAccounts/jobs/runbookContent/action
Microsoft.Automation,automationAccounts/jobs,Gets the output of a job,Microsoft.Automation/automationAccounts/jobs/output/read
Microsoft.Automation,automationAccounts/jobs,Gets an Azure Automation job,Microsoft.Automation/automationAccounts/jobs/read
Microsoft.Automation,automationAccounts/jobs,Resumes an Azure Automation job,Microsoft.Automation/automationAccounts/jobs/resume/action
Microsoft.Automation,automationAccounts/jobs,Stops an Azure Automation job,Microsoft.Automation/automationAccounts/jobs/stop/action
Microsoft.Automation,automationAccounts/jobs,Suspends an Azure Automation job,Microsoft.Automation/automationAccounts/jobs/suspend/action
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Creates an Azure Automation Private Endpoint Connection Proxy,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/write
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Delete an Azure Automation Private Endpoint Connection Proxy,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/delete
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Reads Azure Automation Private Endpoint Connection Proxy,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/read
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Validate a Private endpoint connection request (groupId Validation),Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/validate/action
Microsoft.Automation,automationAccounts/privateEndpointConnectionProxies,Get Azure Automation private endpoint proxy operation results.,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies/operationResults/read
Microsoft.Automation,automationAccounts/privateEndpointConnections,Approve or reject an Azure Automation Private Endpoint Connection,Microsoft.Automation/automationAccounts/privateEndpointConnections/write
Microsoft.Automation,automationAccounts/privateEndpointConnections,Get Azure Automation Private Endpoint Connection status,Microsoft.Automation/automationAccounts/privateEndpointConnections/read
Microsoft.Automation,automationAccounts/privateEndpointConnections,Delete an Azure Automation Private Endpoint Connection,Microsoft.Automation/automationAccounts/privateEndpointConnections/delete
Microsoft.Automation,automationAccounts/privateLinkResources,Reads Group Information for private endpoints,Microsoft.Automation/automationAccounts/privateLinkResources/read
Microsoft.Automation,automationAccounts/runbooks,Creates the content of an Azure Automation runbook draft,Microsoft.Automation/automationAccounts/runbooks/draft/content/write
Microsoft.Automation,automationAccounts/runbooks,Gets the content of an Azure Automation runbook,Microsoft.Automation/automationAccounts/runbooks/content/read
Microsoft.Automation,automationAccounts/runbooks,Gets Azure Automation runbook draft operation results,Microsoft.Automation/automationAccounts/runbooks/draft/operationResults/read
Microsoft.Automation,automationAccounts/runbooks,Creates an Azure Automation runbook draft test job,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/write
Microsoft.Automation,automationAccounts/runbooks,Gets an Azure Automation runbook draft test job,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/read
Microsoft.Automation,automationAccounts/runbooks,Resumes an Azure Automation runbook draft test job,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/resume/action
Microsoft.Automation,automationAccounts/runbooks,Stops an Azure Automation runbook draft test job,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/stop/action
Microsoft.Automation,automationAccounts/runbooks,Suspends an Azure Automation runbook draft test job,Microsoft.Automation/automationAccounts/runbooks/draft/testJob/suspend/action
Microsoft.Automation,automationAccounts/runbooks,Gets an Azure Automation runbook draft,Microsoft.Automation/automationAccounts/runbooks/draft/read
Microsoft.Automation,automationAccounts/runbooks,Undo edits to an Azure Automation runbook draft,Microsoft.Automation/automationAccounts/runbooks/draft/undoEdit/action
Microsoft.Automation,automationAccounts/runbooks,Creates an Azure Automation runbook draft,Microsoft.Automation/automationAccounts/runbooks/draft/write
Microsoft.Automation,automationAccounts/runbooks,Creates or updates an Azure Automation runbook,Microsoft.Automation/automationAccounts/runbooks/write
Microsoft.Automation,automationAccounts/runbooks,Deletes an Azure Automation runbook,Microsoft.Automation/automationAccounts/runbooks/delete
Microsoft.Automation,automationAccounts/runbooks,Gets the count of Azure Automation runbooks,Microsoft.Automation/automationAccounts/runbooks/getCount/action
Microsoft.Automation,automationAccounts/runbooks,Publishes an Azure Automation runbook draft,Microsoft.Automation/automationAccounts/runbooks/publish/action
Microsoft.Automation,automationAccounts/runbooks,Gets an Azure Automation runbook,Microsoft.Automation/automationAccounts/runbooks/read
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Creates or updates Azure Automation Software Update Configuration,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/write
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Deletes an Azure Automation Software Update Configuration,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/delete
Microsoft.Automation,automationAccounts/softwareUpdateConfigurations,Gets an Azure Automation Software Update Configuration,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations/read
Microsoft.Automation,automationAccounts/webhooks,Generates a URI for an Azure Automation webhook,Microsoft.Automation/automationAccounts/webhooks/action
Microsoft.Automation,automationAccounts/webhooks,Creates or updates an Azure Automation webhook,Microsoft.Automation/automationAccounts/webhooks/write
Microsoft.Automation,automationAccounts/webhooks,Deletes an Azure Automation webhook ,Microsoft.Automation/automationAccounts/webhooks/delete
Microsoft.Automation,automationAccounts/webhooks,Reads an Azure Automation webhook,Microsoft.Automation/automationAccounts/webhooks/read
Microsoft.Automation,none,Registers the subscription to Azure Automation,Microsoft.Automation/register/action
Microsoft.Automation,operations,Gets Available Operations for Azure Automation resources,Microsoft.Automation/operations/read
Microsoft.AutonomousDevelopmentPlatform,checknameavailability,n/a,n/a
Microsoft.AutonomousDevelopmentPlatform,locations,Read locations,Microsoft.AutonomousDevelopmentPlatform/locations/read
Microsoft.AutonomousDevelopmentPlatform,locations/operationstatuses,Read operation statusess,Microsoft.AutonomousDevelopmentPlatform/locations/operationStatuses/read
Microsoft.AutonomousDevelopmentPlatform,locations/operationstatuses,Update operation statuses,Microsoft.AutonomousDevelopmentPlatform/locations/operationStatuses/write
Microsoft.AutonomousDevelopmentPlatform,none,Delete accounts,Microsoft.AutonomousDevelopmentPlatform/accounts/delete
Microsoft.AutonomousDevelopmentPlatform,none,Read accounts,Microsoft.AutonomousDevelopmentPlatform/accounts/read
Microsoft.AutonomousDevelopmentPlatform,none,Update accounts,Microsoft.AutonomousDevelopmentPlatform/accounts/write
Microsoft.AutonomousDevelopmentPlatform,none,Delete Data Streams of New Measurements,Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/measurements/states/new/dataStreams/delete
Microsoft.AutonomousDevelopmentPlatform,none,Read Data Streams of New Measurements,Microsoft.AutonomousDevelopmentPlatform/accounts/dataPools/measurements/states/new/dataStreams/read
